start	end	text
0	15120	Muy bien, buenas tardes. Vamos a continuar con la estimación del modelo de componentes
15120	25620	no observados cuando la heterogeneidad no observada está relacionada con una o más
25620	33380	de las variables explicativas observadas del modelo. Lo que hicimos en la clase pasada
33380	45460	fue estimar el modelo utilizando la transformación de efectos fijos, la within transformation
45460	55380	que aparece en la literatura que consiste en tomar el modelo original y restarle a cada
55380	62380	variable la media temporal para cada observación de corte transversal.
62380	80980	¿Me escuchan?
80980	83980	No estoy en...
83980	85980	Se escucha perfecto.
85980	86760	Ok.
93980	105980	Entonces, usando la transformación de efectos fijos, lo que uno hace es eliminar el componente
105980	116980	no observado, C subí o alfa-i, no sé si lo... C subí creo que lo llamamos C subí.
117980	128700	Y después lo que hicimos fue mostrar que uno puede obtener la misma estimación considerando
128700	140120	a la heterogeneidad no observada como parámetros a estimar. Y lo que uno tiene que asumir o dejar
140120	151700	de asumir es con respecto a la inferencia estadística en el modelo y dependiendo de si uno quiere asumir
151700	160700	homoseasticidad y ausencia de correlación serial en el tiempo para los errores del modelo.
160700	168700	Entonces, estamos en lo que se conoce como el modelo de efectos fijos canónico, es decir,
168700	174700	cuando uno estima con cualquier programa que estime este tipo de modelos de datos de panel,
174700	181700	el supuesto para hacer inferencia estadística o la fórmula de cálculo para hacer inferencia estadística
181700	188700	que utilizan los programas es asumiendo homoseasticidad y ausencia de correlación serial en el tiempo.
188700	199700	Pero como vimos al comienzo del curso y como repetimos la clase pasada, si uno no quiere hacer el supuesto de ausencia
199700	209700	de correlación serial en el tiempo o de heteroseasticidad, lo que puede hacer es utilizar
209700	214700	una matriz de varianzas y covarianzas robusta ante la presencia de esos dos problemas.
214700	229700	Y en términos del no supuesto de cumplimiento de homoseasticidad y ausencia de correlación serial en el tiempo,
229700	237700	como hemos visto en el curso de econometría en el corte transversal, cuando la matriz de varianzas y covarianzas de los errores
237700	247700	tiene heteroseasticidad o tiene correlación serial, uno tiene la opción de cambiar de método de estimación
247700	251700	y utilizar el método de estimación de mismos cuadrados generalizados.
251700	261700	Si tengo heteroseasticidad y o correlación serial en el tiempo y entonces uno puede o estimar por el método de efectos fijos
261700	269700	y calcular correctamente la matriz de varianzas y covarianzas de los estimadores o puedo cambiar el método de estimación
269700	273700	y estimar por mínimos cuadrados generalizados.
273700	285700	Entonces lo que tienen en la transparencia es el supuesto canónico para la estimación de mínimos cuadrados generalizados
285700	295700	que lo que me dice que la matriz de varianzas y covarianzas de los errores es igual a
295700	303700	lambda mayúscula será eso, que es una matriz definida positiva.
303700	315700	Entonces cuando uno hace el supuesto de que los errores del modelo original tienen algún tipo de estructura en el tiempo,
315700	323700	sea varianzas diferentes en el tiempo o sean covarianzas distintas de cero en el tiempo,
323700	342700	entonces la ecuación que uno puede estimar que consiste en eliminar el C sub i con la transformación de efectos fijos
342700	347700	me deja una matriz de varianzas y covarianzas para los errores compuestos o transformados,
347700	358700	los errores con los dos puntitos arriba que tiene la estructura del cuarto punto de la transparencia.
358700	367700	Dado que nosotros definimos a la matriz Qt como la matriz time-diming y la matriz Qt multiplicada por cualquier variable
367700	373700	me deja la variable con los dos puntitos arriba, es decir que le saca a la variable original la media temporal
373700	386700	de la variable en cada corte transversal, entonces como tenemos la varianza definida como la esperanza matemática
386700	390700	de U con los dos puntitos arriba por U con los dos puntitos arriba tras puesto,
390700	398700	les hacemos el U con los dos puntitos como Qt por U y entonces la matriz de varianzas y covarianzas me queda Qt
398700	412700	queda Qt por lambda mayúscula por Qt que de nuevo es lo que dice el cuarto punto de esta transparencia.
412700	425700	Y la característica de esta matriz es que el rango de la matriz es T-1, es decir que no tengo una matriz con rango completo
425700	432700	y esto es básicamente porque a cada variable le estoy sacando la media, o sea que le estoy sacando el grado de libertad adicional
432700	445700	que me permitiría tener la matriz original de rango completo, y como la matriz no tiene rango completo, no la puedo invertir
445700	451700	y como no la puedo invertir, digamos, ok, pensemos en el estimador de mínimos cuadrados generalizados
451700	460700	el estimador de mínimos cuadrados generalizados, la fórmula tradicional sería x transpuesta por omega inversa por x,
460700	466700	inversa x transpuesta por omega inversa por y, donde omega es la matriz de varianzas y covalencia de los errores
466700	471700	y la inversa es lo que entra dentro del estimador de mínimos cuadrados generalizados.
471700	476700	Acá me va a pasar lo mismo porque de nuevo cuando yo transformo el modelo con los dos puntitos,
476700	487700	elimino el CSUBI y me queda en el, en la, ¿recuerdan que nosotros escribimos el modelo en tres, para tres versiones diferentes?
487700	492700	Si yo agrupo todas las observaciones del corte transversal y todas las observaciones de serie temporales
492700	497700	es como si tuviera un gran corte transversal y ahí voy a tener una matriz de varianzas y covalencia
497700	503700	que en este caso es QT por lambda machúcula por QT, pero la matriz esa no la puedo invertir
503700	513700	porque no tiene rango completo. Entonces hay dos formas de trabajar en la práctica que están mencionadas allí
513700	520700	en la, en el último punto de la transparencia que es utilizar la inversa generalizada
520700	528700	o eliminar uno de los periodos temporales. Y les digo la verdad, en general la mayor parte de los
528700	538700	trabajos que uno ve aplicados, lo que hacen es utilizar el segundo, el segundo, el segundo caso, es decir, eliminar
538700	545700	un periodo temporal y entonces yo desarrollé en la, en las transparencias
545700	552700	este segundo caso. Pero si uno quiere utilizar la fórmula de la inversa generalizada, usa la fórmula de la inversa generalizada
552700	567700	y se acabó. Entonces, como está desarrollado en el, en las transparencias, el periodo de eliminar va a ser el último, el T mayúscula.
567700	577700	Pero, digamos, yo puedo eliminar cualquier periodo temporal, ¿sí? Para enseñarlo los libros que dicen y
577700	587700	dropea el primero o el último y entonces todas las sumas van desde 2 hasta T mayúscula o desde 1 hasta T mayúscula menos 1 y son completas.
587700	595700	Si elimino el periodo 5, la suma se me parte. Tendría que sumar de 1, 4 y después de 6 hasta T mayúscula.
595700	601700	Entonces, da lo mismo cuando eliminemos la transparencia, está eliminado el periodo T mayúscula.
601700	611700	Entonces, eliminando el periodo T mayúscula, me van a quedar, este, las ecuaciones hasta el periodo temporal T mayúscula menos 1, que las
611700	626700	que las tienen allí en el centro de la, de la, de la transparencia, y ahora sí podemos definir una matriz de, en lugar de T por T, T menos 1 por T menos 1, ¿sí?
626700	642700	Para, está llamado omega ahí en la, en la transparencia, para estimar el omega, invertirlo y meterlo en la fórmula de mínimos cuadrados generalizados.
642700	658700	Estimados, ¿sí? Ahí dice, en todas partes dice GLS, o Generalized Squares, y es feasible GLS, porque voy a tener que estimar el omega, no me lo voy a conocer, así que lo voy a tener que, que estimar.
658700	669700	Pero, de nuevo, esto es, primera, dos clases del curso, en donde nosotros mostramos que mínimos cuadrados generalizados, mínimos cuadrados generalizados, estimados, son asintóticamente equivalentes.
669700	677940	Entonces, todo funciona, este, correctamente, entre comillas, reemplazando la inversa de omega por su estimación.
678380	683880	Entonces, lo que tienen allí desarrollado es una de las formas de estimar el, el, el omega.
685020	698360	Para eso, lo que uno hace es eliminar el periodo T mayúscula y estimar, utilizando la transformación de, de efectos fijos, definimos allí, en la última ecuación, los residuos,
698360	712960	les puse dobles sombreros para, para diferenciarlos de los residuos anteriores, que tenían un solo sombrerito, pero que contenían los, este, T mayúscula, valores de los, de los residuos, ¿sí?
712960	725800	Y, eh, utilizando esos residuos, uno puede estimar una, eh, estimación consistente de, de omega con, eh, el, outer product de los, de los residuos.
725920	734220	Esto, de nuevo, no está mostrado acá, lo mostramos en, en, en, al principio, eh, de, el curso, en las primeras dos clases.
734220	748380	Entonces, esta es una estimación consistente, lo único que hay que hacer es transformar, este, los residuos, eh, los residuos originales, eh, hay que, bien, destransformar en, en los residuos, en los residuos originales.
748440	757440	Eso lo hicimos en la, en las primeras dos clases y mostrar que el estimador es consistente, es consistente, créanme, digo, es la misma fórmula que usamos antes,
757440	771180	solamente que ahora los residuos tienen los dos puntitos arriba, ¿sí? Este, y estoy reemplazando, básicamente, en la definición de omega, la esperanza más en más matemática,
771300	776000	por el análogo muestral, uno sobre n, por la suma de una n, y reemplazando los errores por los residuos.
778160	786320	Entonces, si, eh, yo tengo la estimación de omega, la invierto y la meto dentro de la ecuación 52,
786320	793600	que es, básicamente, x transpuesta por omega inversa por x, todo inversa, x transpuesta por omega inversa por y.
793860	801880	Solo que, el x ahora tiene los dos puntitos, el y tiene los dos puntitos, y el omega inversa tiene el sombrerito, ¿sí?
802140	807400	De la estimación de la ecuación que está antes de la, de la 52, ¿sí?
807400	814180	Entonces, necesito, eh, reforzar el supuesto 2, ¿sí?
814640	822820	O establecerlo en forma diferente, porque necesito que, eh, x transpuesta por omega, sombrero, eh, inversa por x,
823220	827520	con los dos puntitos arriba, ten inversa, y para eso necesito que el rango sea completo,
828020	835400	eso es lo que, eh, en el anteúltimo punto de la transparencia dice el supuesto fix effect GLS 2, ¿sí?
835400	844140	El rango de la matriz es completo y entonces yo lo puedo invertir y obtener la, la estimación dada por la ecuación 52
844140	853160	y bajo el supuesto 1 de, este, exogeneidad estricta y el supuesto 2 de el rango completo, el estimador es posible.
858560	861800	Si agregamos el supuesto 3, ¿sí?
861800	870500	El supuesto FE, si es el estrés, que me dice que la matriz de varianzas y covarianzas,
870500	880740	eh, eh, tiene la, la forma, eh, usual en, este, el estimador de mismos cuadrados generalizados,
881120	887660	recuerdan que, eh, la, el estimador de mismos cuadrados generalizados, el corte transversal,
888260	895340	tiene, como es, uno lo que hace es agarrar el modelo, transformarlo para eliminar la heterosexual o coloración serial,
895340	899440	es el modelo con las estrellitas, ese modelo lo puedo estimar por mismos cuadrados clásicos,
899960	905480	el, el estimador de la varianza del mismo cuadrado clásico es sigma cuadrado por X estrellita de la apuesta
905480	909300	por X estrellita inversa, y cuando yo destransformo la X estrellita,
909660	915300	me aparece el X por omega inversa por X, X transpuesta por omega inversa por X inversa,
915300	919980	bueno, acá, este, la estimación es la misma,
920220	922520	es X transpuesta por omega inversa por X,
922700	925140	es el omega estimado, eh, inversa,
925220	928680	y esa es la matriz de varianzas y covarianzas asintótica
928680	933580	del estimador de, eh, mínimos cuadrados generalizados estimado,
933720	937380	Fisible GLS, Fisible GLS, ¿sí?
942640	944720	¿Está claro hasta acá? ¿sí?
944720	950800	Entonces, como mencioné la clase pasada al comienzo,
