start	end	text
0	28000	Muy bien, vamos a terminar. Tengo dos cositas para decirles sobre la transformación de efectos fijos en el STATA, y después pasamos a la estimación de modelos dinámicos.
28000	54080	Si ustedes miran la transparencia anterior, cuando nosotros lo que hicimos fue poner el modelo incluyendo un efecto constante en el corte transversal
54080	68520	y variable en el tiempo lambda t, la transformación que hicimos fue tomar el modelo original y restarle la media temporal en el corte transversal,
68520	73280	la media en el corte transversal para cada frecuencia temporal y la media total.
73280	83280	Si yo elimino este lambda t de todos los modelos,
83280	92120	y elimino esta ecuación 73,
93120	102500	la resta de la ecuación original 71 menos la ecuación 72,
102500	108500	que es la ecuación de las medias temporales de cada observación de corte transversal,
109840	112460	y le sumo la ecuación 74,
113100	123320	lo que me aparece es que la resta entre la ecuación 71 y la ecuación 72 me elimina el alfa i,
123320	130680	y la suma de la ecuación 74 me agrega una constante en el modelo,
131560	141320	que básicamente es lo que hace el STATA cuando estima por efectos fijos.
141320	149080	Con otras letritas que tienen acá en el manual del STATA,
149180	163000	pero básicamente la ecuación 1 es la ecuación original del modelo de componentes no observados
163000	164580	con heterogeneidad no observada,
164680	167800	que en lugar de alfa i o c sub i la llama b sub i,
167800	175940	y lo que hace el STATA cuando uno le pone el comando que está aquí,
176160	179080	xtreg fe de Fixed Effects,
179480	180900	lo puedo hacer.
180900	199280	Esto son datos tomados del manual de Green,
199280	208700	que tienen seis firmas desde el 70 hasta el 73,
208700	211840	costo y producto,
212280	217640	o sea, cuánto cuesta producir lo que acá llamo producto,
218060	225320	y uno puede estimar esto por efectos fijos,
225780	228760	poniéndole xt set,
229760	234420	id es la variable que indica el corte transversal,
234420	241580	id es la variable que indica la serie de puentes temporal,
241900	252960	y después xtreg costo producto coma fe,
252960	258780	cuando el STATA me da la salida,
259160	260760	me aparece aquí una constante.
261320	263840	En la transformación de efectos fijos,
263980	269280	como yo la desarrollé en las transparencias,
270100	275760	cuando yo le resto solamente la media temporal
275760	278340	para cada variable en el corte transversal,
278340	279760	elimino la constante,
279900	283980	porque elimino todas las variables
283980	286160	que no tienen variabilidad en el tiempo,
286260	287560	o sea, que me cargo el C sub i,
288060	290260	y me cargo todo lo que sea constante en el tiempo,
290480	290960	constante,
291580	294620	si el modelo tiene ordenada lo mismo.
294700	296040	Pero cuando lo hago con el STATA,
296160	298820	me aparece esta constante
298820	301260	con la transformación de efectos fijos,
301420	303220	y como en las transparencias yo lo expliqué
303220	306360	como si no existiera esa constante,
306760	309760	entonces les muestro cómo lo hace el STATA,
310120	311600	que hace la misma transformación
311600	313960	que hicimos para el modelo
313960	317040	de los efectos de la heterogeneidad observada
317040	318740	en el corte transversal
318740	320320	y en las series temporales,
320600	324860	pero sin la ecuación de la media
324860	327660	de corte transversal.
328660	332800	Me vuelvo al manual del STATA,
333220	339880	y lo que hace el STATA es
339880	343560	tomar la media temporal,
344200	345140	esta es la ecuación 2,
345260	348780	la ecuación 72 de la transparencia
348780	350200	sin el lambda t,
351120	353760	y después,
353760	358980	si yo resto,
359640	362780	la ecuación 3
362780	364520	es lo que nosotros
364520	366800	desarrollamos en las transparencias
366800	369240	como la transformación de efectos fijos.
370140	371020	Me eliminó
371020	373320	la constante del modelo
373320	375800	o el B sub i que llama el STATA.
375800	377620	Y después lo que hace
377620	379760	la ecuación 4
379760	381100	es tomar la media total.
381100	384780	la media total de la variable,
384920	386700	que es nuestra ecuación 73,
387480	389560	y se la suma.
389560	393220	la media total la suma
393220	397280	a la ecuación anterior
