start	end	text
0	5880	Bueno, ahí en teoría estamos grabando
5880	9040	Y vamos a arrancar con la clase de hoy
9040	10740	Lo que nos quedaba para ver para hoy
10740	12860	Era una parte del TPE anterior
12860	15480	La última, literalmente el último inciso
15480	18140	El segundo ejercicio creo que era
18140	22100	Que era relacionado con
22100	27900	Vamos a verlo bien en detalle
27900	30280	Para ponernos también un poco en contexto
30280	33480	Hasta antes de la clase pasada
33480	36320	Lo que asumíamos nosotros era que teníamos
36320	38280	Paneles balanceados
38280	42500	Es decir que podíamos conseguirnos una muestra
42500	46140	Aleatoria de la población que nos interesaba analizar
46140	49880	Entonces no íbamos a tener problemas
49880	53120	Que después introducimos como problemas de sesgo de selección
53120	57280	Ahora, cuando hay paneles que no son balanceados
57280	58560	Por algún motivo
58560	61080	Por alguno de los motivos que tenemos en clase
61080	61960	Ya sea por ejemplo
61960	63620	Por atrillo
63620	65400	O por truncamiento incidental
65400	66900	Hay dos opciones
66900	68520	Que ese atrillo
68520	70680	O que ese sesgo de selección
70680	72380	Sea relevante para el análisis
72380	72720	O sea
72720	75320	Tenga algo que ver con la variable
75320	76400	Que estamos queriendo explicar
76400	77080	Le hace
77080	79060	No ves
79060	81160	El salario de una persona
81160	82580	Porque la decisión
82580	83280	Digamos
83280	84400	Ver o no ver el salario
84400	85740	Depende de la decisión de la persona
85740	86380	De trabajar
86380	88300	Y esa decisión probablemente
88300	89920	Esté motivada por características
89920	90440	De la persona
90440	92020	Que también afecten al salario
92020	92620	De la persona
92620	93920	Y eso nos genera
93920	95380	Una especie de sesgo de selección
95380	97560	Genera un sesgo de selección
97560	98180	No, una especie
98180	100180	Un tipo de sesgo de selección
100180	104460	Si quieren leer más de esto
104460	105900	Les recomiendo fuertemente
105900	107520	El libro de Woolrich
107520	111200	El capítulo 17
111200	115860	Por el libro de Woolrich
115860	117020	Estoy refiriendo a
117020	121760	Econometric analysis
121760	122600	Of cross-section
122600	123340	En panel data
123340	125740	Capítulo 17
125740	127340	O página 559
127340	127960	De este PDF
127960	129660	Que está bastante bien
129660	130240	En calidad
130240	134360	Y
134360	137200	Porque acá te muestra
137200	138840	Cómo sería la situación
138840	139740	Cuando
139740	141660	No tenés el problema
141660	142820	De sesgo de selección
142820	145720	Que vendría a ser
145720	147100	Me lo resalté
147100	147280	Para
147280	152360	Este es como
152360	153340	El supuesto
153340	154220	Fuerte
154220	155560	Que va a hacer
155560	156440	Que aparezca
156440	157280	El sesgo de selección
157280	157620	Cuando
157620	159460	Cuando derivás
