start	end	text
0	6660	Bueno, un par de cosas que les quería comentar
6660	8960	Con respecto a cómo cargamos las cosas
8960	9460	Y demás
9460	12940	En el campus, yo voy a ir cargando semana a semana
12940	13640	A los CPS
13640	16060	Abajo de esta
16060	17360	Clases prácticas 2023
17360	19820	Acá va a haber un link a las grabaciones
19820	22740	Y el Dropbox
22740	25220	Que es lo más fácil
25220	26400	De actualizar
26400	29140	Así que ahí van a tener
29140	30280	Por Problem Set
30280	32640	Las carpetitas con código, data y docs
32640	33720	Así que se los cargan
33720	36160	Y si quieren ir siguiendo los códigos en vivo
36160	39120	Igualmente van a tener las grabaciones
39120	41100	Y los códigos, si los quieren mirar después
41100	44620	Así que nada
44620	46720	Voy a arrancar con el tt de hoy
46720	49380	Que es el Problem Set 0
49380	58860	Por ahora viene todo siendo más un repaso de econometría
58860	61160	Asumo que la gran mayoría ya la habrá hecho
61160	61900	Probablemente
61900	64960	Pero en lugar de tener una dimensión
64960	67220	Lo que vamos a tener son unidades de individuos
67220	68540	Personas, firmas
68540	71120	Y vamos a agregar en el tiempo como una nueva dimensión
71120	75580	Así que lo que vamos a ver en el Problem Set 1
75580	77880	Son cosas que probablemente ya no suenan de otras materias
77880	78420	Así que
78420	80100	En algún momento voy a correr
80100	81640	Porque el primer código es bastante largo
81640	84280	Pero nada, cualquier duda
84280	86680	Me avisan y lo vemos con más detalle
86680	90640	Tenemos tres ejercicios
90640	93640	El primero es un poco más cuentoso
94360	95920	Porque te pide hacer un par de cosas a mano
95920	97000	Que al final del día
97000	101620	Cuando hagamos realmente las estimaciones
101620	102800	Con datos y temas
102800	107280	No vamos a hacer tanta cuenta a mano
107280	108620	Pero está bueno tenerlo de base
108620	112200	En el segundo ejercicio vamos a ver un poco
112200	113360	Es un poco más cortito
113360	115620	Y vamos a ver cómo manejar los datos de panel
115620	117620	Cuando no están en el formato que nos gusta
117620	118660	Para usar en Stata
118660	123460	Y el último es un poco más interesante
123460	126640	Porque le agregamos una dificultad extra al modelo
126640	128380	Que es qué pasa cuando los errores
128380	130580	No cumplen con los supuestos usuales
130580	134240	Que nos gustaría que cumplan para que los estimadores sean todos lindos
134240	135100	Y los estadísticos
135100	137120	Nos sirvan para hacer inferencias
137120	150920	Voy a arrancar por el ejercicio 1
150920	152120	Vamos a ir en orden hoy
152120	155640	Voy a tratar de cortar hoy 5 minutos antes si puedo
155640	157120	10 sería un goleazo
157120	157960	Porque después de esta
157960	160660	Más de uno seguro que usamos series de tiempo
160660	162880	Y es justo en esta misma doble
162880	163860	Así que para darle tiempo a Pato
163860	165020	Para reacomodarnos
165020	168160	Nada, aviso desde ya
168160	169940	Si corro un poco es por eso
169940	174260	Bueno
174260	177920	Nos piden que consideremos este modelo de regresión
177920	180640	Que está basado en esta base de datos
180640	181660	Que ahora la vamos a ver
181660	184420	El modelo tiene una constante
184420	186620	Y después empezamos a agregar las variables
186620	188200	Que aparecen acá
188200	191320	Este modelo tiene
191320	193440	Este dataset tiene datos de corte transversal
193440	194400	De gastos médicos
194400	195780	Y la idea es, bueno
195780	196960	Ver cómo
196960	200060	Cómo setear primero el dataset
200060	201040	En Stata
201040	202560	Para acostumbrarnos un poco
202560	203260	Y entrar en calor
203260	204340	Y después
204340	206340	Ver cómo podemos
206340	209800	Realizar las regresiones
209800	210960	Que habitualmente uno hace con
210960	211640	Regress
211640	213420	Variable independiente
213420	214240	Variable independiente
214240	215760	Pero con matrices
215760	217660	Así que
217660	218160	Nada
218160	219260	Voy directo a Stata
219260	222100	En algún momento probablemente
222100	223100	Tendrán igual saltar
223100	224140	Acá la tablet
224140	225220	Así que vamos a ver
225220	226040	Cómo funciona esa
226040	227100	Gimnasia
227100	227860	Es medio
227860	229840	Multitasker la situación
229840	233460	Pero nada
233460	234160	Vamos a romper
234160	239280	Bueno
239280	240760	Entonces
240760	242040	Decíamos que
242040	242920	En este ejercicio
242920	244560	Consideramos un modelo de regresión
244560	245380	Que lo tengo acá escrito
245380	246040	Más o menos
246040	247740	Y nos piden que
247740	248960	Usemos la base de datos
248960	250220	Para estimar la ecuación
250220	251820	Por mínimos cuadrados clásicos
251820	253000	Usando comandos de matrices
253000	254900	Reportar los errores estándares
254900	255380	De OLS
255380	257220	Y reportar los estadísticos
257220	257900	Que asociados
257900	259220	Entonces
259220	260320	Como siempre
260320	261420	Lo primero que vamos a hacer
261420	262640	Inicializar el código
262640	264060	Con los comandos de
264060	265340	Clear y set more off
265340	267220	Clear es para remover
267220	267840	Toda la data
267840	268740	Que pueda estar ahí
268740	269520	Haciéndonos
269520	271640	Molestándonos
271640	272180	Cuando abramos
272180	273280	El dataset nuevo
273280	274180	Y set more off
274180	275660	Es un tema de visualización
275660	276440	En el Stata
276440	276900	Para que
276900	280080	Para que cuando vayan
280080	281320	Apareciendo los resultados
281320	282540	Acá en esta ventana
282540	284080	No tenga que ir manualmente
284080	284860	Diciendo el Stata
284860	286080	No me
286080	287660	Seguir corriendo
287660	288460	La pantalla
288460	291240	Bueno
291240	291620	Acá tenemos
291620	292260	Para indicar
292260	293620	El directorio
293620	295720	Vamos a correr eso
295720	297520	Primero
297520	302500	Y voy a cargar
302500	303160	La base de datos
303160	303840	Yo asumo que
303840	304820	Muchos de estos comandos
304820	306580	Ya están familiarizados
306580	307300	Pero si hay algunos
307300	308840	Que no conocen
308840	309420	Avisen
309420	310340	Lo vemos
310340	311740	Básicamente acá
311740	312100	Dije
312100	312540	Donde
312540	314020	Donde está la carpeta
314020	315480	Donde voy a sacar
315480	316260	La base de datos
316260	317080	Y acá
317080	317820	Le dije
317820	318960	Acá está
318960	319620	La data
319620	334200	Entonces lo primero
334200	334720	Que vamos a hacer
334720	335060	Es ver
335060	335640	De qué se tratan
335640	336240	Las variables
336240	338120	Para eso
338120	338500	Vamos a usar
338500	338860	El comando
338860	339300	Sky
339300	346560	Y con
346560	347300	Summarize
347300	347680	Vamos a ver
347680	348420	Cómo se estructura
348420	349560	El corte transversal
349560	351000	Vamos a ver
351000	351660	Que por ejemplo
351660	352820	Para esta variable
352820	355440	Tenemos 2955 observaciones
355440	356100	Y para el resto
356100	357320	Tenemos 3064
357320	358480	Entonces acá
358480	359800	Tenemos que estar atentos
359800	360240	Porque
360240	362480	¿Se acuerdan que dijimos
362480	363600	Que íbamos a hacer
363600	364340	Las cuentas
364340	365080	Como a mano
365080	366140	Usando las matrices
366140	366740	Bueno
366740	368600	Si usamos las matrices
368600	369320	Sin tener en cuenta
369320	370120	Que tenemos acá
370120	371340	Estos valores faltantes
371340	372540	Va a haber un problema
372540	373320	Y no nos va
373320	374440	A dar nada
374440	374820	Básicamente
374820	376420	Porque las matrices
376420	377020	No van a ser
377020	379140	Van a tener
379140	380100	Puntitos
380100	382680	Entonces no
382680	383600	Va a tener sentido
383600	384000	La cuenta
384000	386420	Así que vamos a ver
386420	387080	Cómo trabajar
387080	388280	Para evitar
388280	389000	Ese problema
389000	394360	Antes de arrancar
394360	395020	Creo que
395020	395860	Lo que voy a hacer
395860	396800	Es hacer un poco
396800	397680	La parte más
397680	398420	Analítica
398420	400640	De hacer las cuentitas
400640	401300	Para ver
401300	401840	Qué es lo que tenemos
401840	402340	Que calcular
402340	402900	O qué matrices
402900	403660	Tenemos que ir a buscar
403660	405680	Para calcular
405680	406460	Así que para eso
406460	406780	Voy a
406780	407480	Venir acá
407480	409640	Y empezar
409640	410100	A compartir
410100	410580	Desde acá
410580	417320	Y acá es donde
417320	418560	La tecnología
418560	419660	Nos supera
419660	429040	De acúmen
429040	429640	La tecnología
429640	430260	No
430260	453020	Bueno, en teoría ahí estamos.
453020	462920	Bueno, entonces, de vuelta recapitulando, lo que queremos hacer es con esa base de datos hacer la estimación por mínimos cuadrados.
463760	481500	Entonces, nosotros ya no sabemos recontra de memoria, asumo, que la estimación por mínimos cuadrados matricial, o sea, va a ser X traspuesta por X inversa X traspuesta por Y.
483020	490400	Entonces, primero, esto es a lo que queremos llegar, o sea, esto es a lo que queremos calcular, y después los estadísticos, y los testes y demás.
491860	495820	Primero vamos a ver cómo nos generamos esto, o qué significa tener esto.
495820	510660	Acá las X saben que son matrices de las variables explicativas, la Y es el vector de la variable dependiente,
510660	514580	Entonces, X lo que es, es una matriz
514580	521640	X es una matriz
521640	524200	que se compone por
524200	538200	En este caso, en este caso, X, si se acuerdan, tiene, en nuestro modelo en específico tiene la constante adelante de todo, así que vamos a tener el vector de unos adelante.
538200	554800	Y después el resto de las variables, que eran, no le estaría gustando la pocha de mano, subpins, etcétera, etcétera, hasta la última, que es in-con,
554800	569840	Donde, dentro de las X tenemos las 8 variables en total, y hacia abajo tenemos los n observaciones, entonces esto es n por 8.
569840	582220	Entonces nada, es fácil conformar, es fácil verificar que esto es conformable, porque bueno, tenemos X respuesta por X, al menos 1, X respuesta por Y, y todo esto nos da el vector de los betas,
582720	592420	que, no sé si hace falta acabar la cuota, pero, para cada uno de los, para cada una de las variables más la constante vamos a querer uno de los betas, entonces vamos a tener desde el beta 0,
593700	596920	beta 1, hasta el beta 7.
598260	599560	Entonces eso es lo que vamos a ir a buscar.
599840	609420	Aparte de eso, lo que vamos a necesitar también, es la parte de los errores estándar, y los estadísticos T.
610240	616560	Entonces primero que nada, vamos a armar los errores estándar, para este caso.
