start	end	text
0	10580	Bueno, esto lo voy a fijar
10580	11900	Así después
11900	15360	Chusmeo si alguno de todos esos programas
15360	17600	Que nos ponen ahí están buenos
17600	19240	Y si encuentro algo copado
19240	20340	Les paso
20340	25460	Bueno, el tp de hoy
25460	27760	Es sobre paneles desbalanceados
27760	29680	Vamos a salir un poco
29680	30140	De
30140	33740	Esto de los paneles dinámicos
33740	35380	Que veníamos viendo la última vez
35380	37580	Y vamos a enfocarnos
37580	39600	En otro tipo de
39600	41600	Complejidad que pueden venir con
41600	42380	Los
42380	45580	Datasets en panel, con los modelos
45580	46500	En paneles
46500	49240	Que es el tema de
49240	51080	Que pasa cuando tenemos paneles
51080	52460	Desbalanceados
52460	55300	Que es un escenario bastante común en general
55300	57480	Cuando el diseño de
57480	59540	Por ejemplo la encuesta que usamos
59540	60000	Para
60000	62340	Para pulir la información
62340	63000	O
63000	65240	Cuando el seguimiento que hacemos
65240	66820	A las firmas que estamos mirando
66820	67580	No es
67580	69960	No es como de laboratorio
69960	70920	O sea, no es el ideal
70920	75540	Esto en las teóricas
75540	76400	Creo que está
76400	77660	En
77660	86620	En el center slides número 3
86620	90700	Hoy lo que vamos a estar mirando
90700	92400	Es un poco
92400	93020	De cómo
93020	94100	Cómo trabajar en
94100	94520	Estata
94520	95260	La parte de
95260	96260	Los contrastes
96260	97320	Por sesgo de selección
97320	99800	La corrección
99800	101360	De selección muestral
101360	102420	Vamos a usar
102420	103140	El procedimiento
103140	103860	De Woodridge
103860	104500	Siguiendo dos
104500	105340	Enfoques distintos
105340	106040	Moonluck
106040	107340	Y Chamberlain
107340	109100	Y
109100	111240	Esta clase vamos a ver
111240	111940	También un poco
111940	112260	De
112260	114180	La parte de inferencia
114180	114800	Sí
114800	115180	Cómo
115180	118400	Cómo salvar el hecho
118400	119060	De que
119060	120640	Los errores
120640	121160	Que salgan
121160	121820	Directamente
121820	122600	De una estimación
122600	123000	Pulldow
123000	123900	Después de todas
123900	124620	Las transformaciones
124620	125140	Que hagamos
125140	125780	No va a ser
125780	126560	Exactamente
126560	128640	Correcto
128640	131080	Y vamos a tener que
131080	132040	Como vimos ya
132040	132640	En otras
132640	133720	Ocasiones
133720	134680	Aplicar
134680	135700	O
135700	136420	Un método
136420	137340	De Woodstrap
137340	138780	Para
138780	139880	Encontrar
139880	141020	Un estimador
141020	142040	De la varianza
142040	144400	Y después
144400	144900	Hay otra
144900	145660	Hay otra
145660	146280	Forma
146280	146780	Digamos
146780	148500	De hacer esa corrección
148500	149700	Más bien analítica
149700	151520	Que es
151520	154580	La corrección
154580	155260	De semiquina
155260	156000	Que eso es
156000	156280	Como
156280	157620	Un poco más
157620	159020	El código
159020	160000	Es bastante más áspero
160000	160660	Así que eso es lo que
160660	161160	Vamos a dejar
161160	162140	Para la semana que viene
162140	162640	Porque hoy
162640	163760	No vamos a llegar a ser
163760	169000	En cuanto a lo teórico
169000	169280	Bueno
169280	170220	Vieron con Martín
170220	170420	Que
170420	171960	El sesgo
171960	172500	De selección
172500	173100	Mostral
173100	176700	Va a ser
176700	177720	Problemático
177720	178560	En los modelos
178560	179160	Que estamos viendo
179160	179500	Ahora
179500	180800	De fixed effects
180800	181980	Solamente
181980	183080	Cuando
183080	184080	El mecanismo
184080	184880	De selección
184880	185480	Que hace
185480	186100	Que veamos
186100	187120	Algunas variables
187120	187940	Y otras no
187940	189620	Está relacionado
189620	190260	Con los errores
190260	191100	Idiosincráticos
191100	191640	Del modelo
191640	192400	O sea
192400	192780	Es como
192780	193840	Hay una endogeneidad
193840	194040	Ahí
194040	194420	Que no
194420	196480	Que nos estamos
196480	199040	Ignorando
199040	199540	A priori
199540	206100	Entonces
206100	207560	Vamos a arrancar
207560	208760	Ya con el TP
208760	213880	En el TP
213880	214840	Lo que nos dicen es
214840	215680	Tenemos una base
215680	216260	De datos
216260	217720	Que contiene
217720	218600	Historial de empleo
218600	219300	Y escolaridad
219300	219900	De una muestra
219900	220340	De hombres
220340	220960	Para los años
220960	222120	81-87
222120	223560	Y nos piden
223560	224320	Que consideremos
224320	224980	Esta ecuación
224980	225660	De salarios
225660	226980	Donde
226980	227660	El logaritmo
227660	228060	De wage
228060	228540	Es el logaritmo
228540	228880	De salario
228880	229360	Por hora
229360	230020	Expert
230020	230560	Son los años
230560	230940	De experiencia
230940	231260	En el mercado
231260	231780	Laboral
231780	232100	Edu
232100	232660	Son los años
232660	233400	De escolaridad
233400	235220	Y nos piden
235220	235880	Que respondamos
235880	236480	Las siguientes
236480	237120	Preguntas
237120	238140	Estimar
238140	238700	Usando efectos
238700	239080	Fijos
239080	239720	Cuál es el sesgo
239720	240260	Potencial
240260	241080	En este contexto
241080	242780	Implementar
242780	243380	El contraste
243380	243660	De sesgo
243660	244280	De selección
244280	245000	De Woolrich
245000	245280	Bajo
245280	245800	Mundag
245800	254480	Hay algunas cosas
254480	255680	En esto
255680	256480	Que es un poquitito
256480	257260	Cuentoso
257260	258400	Pero una vez
258400	260040	Que lees
260040	260520	Un par de veces
260520	261400	Las cuentas
261400	262200	Creo que
262200	263800	Es más fácil
263800	264460	Entender
264460	265780	Por qué
265780	266280	Hacemos
266280	267100	El procedimiento
267100	267460	Y qué hacemos
267460	267660	O sea
267660	268080	De dónde sale
268080	268940	El procedimiento
268940	269900	Y tiene todo
269900	270800	Un poco más de sentido
270800	271840	Y se hace más amigable
271840	272740	Las cuentas
272740	273120	Y el código
273120	276040	Y después
276040	277320	El ejercicio 2
277320	277820	Es bueno
277820	278900	Ya hiciste el contraste
278900	279240	De sesgo
279240	279900	De selección
279900	280760	Spoiler
280760	281420	Nos va a dar
281420	282900	Que hay evidencia
282900	285060	Que en este
285060	285440	Dataset
285440	286140	Tenemos sesgo
286140	286780	De selección
286780	288520	Entonces vamos a ver
288520	289440	Cómo corregirlo
289440	291260	Y vamos a hacer
291260	291740	De vuelta
291740	292540	La estimación
292540	293040	Del modelo
293040	294020	Bajo Chamberlain
294020	294720	Y Mundag
294720	296360	Después bueno
296360	297100	Vamos a comentar
297100	297840	Sobre los errores
297840	298240	Estándar
298240	299020	De las estimaciones
299020	299720	Anteriores
299720	300540	Vamos a ver
300540	300980	Que el hecho
300980	301940	De que estemos usando
301940	303280	Correcciones
303280	304640	Como de dos pasos
304640	305600	Por así decirlo
305600	306920	De agarrar los errores
306920	307240	De una
307240	307900	Y enchufarlos
307900	308760	En otra ecuación
308760	311100	Nos va a generar
311100	313060	Que tengamos
313060	314020	A hacer un ajuste
314020	314960	En los errores
314960	316520	Y después bueno
316520	317060	Te dicen
317060	317540	Bueno ok
317540	318400	Estimá los errores
318400	319260	Vía bootstrapping
319260	320260	Y vía errores
320260	321300	Estándar analíticos
321300	321740	Que es la
321740	322200	Variación
322200	323520	Asintótica
323520	324480	Esto
324480	325200	Romy
325200	325740	Disculpa
325740	326280	Sí
326280	327540	Me parece
327540	328220	Que no está
328220	329320	Subido
329320	330420	El Problem Set 4
330420	331040	Ni al Campus
331040	332040	Ni al Dropbox
332040	334080	Al Campus
334080	335580	Sé que lo subí ayer
335580	336580	Al Dropbox
336580	337540	Sé que no lo subí
337540	338160	Así que
338160	338520	A ver
338520	339220	Me fijo de vuelta
339220	339740	En el Campus
339740	340740	Dale
340740	341800	Mientras yo
341800	342100	Sí
342100	342860	En el Campus
342860	343220	Está
343220	345260	Yo lo descargué recién
345260	345480	Ah
345480	346400	Ok
346400	349740	Problem Set 4
349740	366780	Así que
366780	367880	Nada
367880	369040	Esto es lo que nos va a quedar
369040	369920	Para hacer la próxima
369920	370920	Hoy queda
370920	371840	Sorry
371840	373180	Ahí me pareció
373180	373980	Ah
373980	374780	En el Campus
374780	375040	Sí
375040	375180	Sí
375180	377420	Igual ahí lo
377420	378140	Esto cargó
378140	382080	Debería estar cargándose
382080	382900	Al Dropbox
382900	388220	Así que
388220	388960	Nada
388960	390700	Vamos a ir arrancando
390700	390980	Entonces
390980	393760	Estoy pensando
393760	394260	Si
394260	395420	Ok
395420	396660	Vamos a ir un poquito
396660	397380	A Stata primero
397380	400960	Para chusmear
400960	401580	Un poco
401580	402720	La base
402720	403760	De datos
403760	406600	Y ver con qué
406600	407460	Estamos trabajando
407460	407920	Entonces
407920	409680	Nada
